t,y
0.11,17.5
0.14,49.98
0.18,59.5
0.22,62.58
0.27,62.5
0.3,59.78
0.34,58.5
0.38,59
0.41,59.5
0.45,59.5
0.5,60.39
0.54,60.9
0.57,61
0.6,60.5
0.64,61.56
0.67,60.42
0.7,61
0.74,61
0.77,60.5
0.8,60.59
0.84,60.59
0.87,60.5
0.9,60.33
0.94,60.81
0.97,60.56
1,60.57
1.04,60.5
1.07,59.88
1.1,41.5
1.14,-1
1.17,-1
1.2,-1
1.24,-1
1.27,1.5
1.3,41
1.34,57
1.37,62.04
1.4,81
1.44,77
1.47,60.6
1.5,60.27
1.54,59.75
1.57,61.12
1.6,60.67
1.64,60.57
1.67,60.36
1.7,60.35
1.74,60.5
1.77,60.5
1.8,61
1.84,60.47
1.87,59.93
1.91,60.23
1.94,60.5
1.97,59.8
2,60
2.04,61
2.07,60
2.1,60.32
2.14,60.12
2.17,60.6
2.2,59.61
2.24,59.74
2.27,58.95
2.3,5.5
2.34,-1
2.37,-1
2.4,19
2.44,54
2.47,60.5
2.5,61.5
2.54,63.97
2.57,58.96
2.6,59.91
2.64,60.67
2.67,60.01
2.7,60.15
2.74,60.87
2.77,60.5
2.8,60.66
2.84,60.1
2.87,60.99
2.91,61.25
2.94,60.5
2.97,60.25
3,61.9
3.04,61.65
3.07,61.77
3.1,61.71
3.14,61.58
3.17,61.38
3.2,60.85
3.24,60.94
3.27,61.07
3.31,62.5
3.34,61.5
3.37,61.73
3.4,61.43
3.44,61.66
3.47,61.44
3.51,63.72
3.54,63.5
3.57,60.76
3.6,63.79
3.64,62.36
3.67,65
3.7,65
3.74,59.22
3.77,60.67
3.8,60.01
3.84,67.64
3.87,66.01
3.91,65.39
3.94,64.12
3.97,61.49
4,61.78
4.04,59.88
4.07,57.9
4.1,59.29
4.14,59.56
4.17,56.78
4.2,55.85
4.24,54.89
4.27,55.44
4.3,56.96
4.34,56.44
4.37,55.64
4.4,55.5
4.44,55.7
4.47,60.27
4.5,61.7
4.54,61.26
4.57,70.47
4.6,57.65
4.64,58.25
4.67,58.88
4.7,58.44
4.74,59.5
4.77,59.12
4.8,58.36
4.84,58.67
4.87,57.53
4.9,56.47
4.94,56.5
4.97,56.5
5,56
5.04,56.5
5.07,56.41
5.1,56.54
5.14,56
5.17,56.5
5.2,56
5.24,56.5
5.27,56.5
5.3,56.5
5.34,57.22
5.37,57.5
5.4,57.08
5.44,57.28
5.47,58.26
5.51,57.5
5.54,58.27
5.57,57.29
5.6,57.33
5.64,58.27
5.67,58.27
5.7,57.44
5.74,58.55
5.77,58.32
5.8,58.47
5.84,58
5.87,58
5.9,58.09
5.94,58.72
5.97,58.73
6,58
6.04,58
6.07,57.5
6.1,58.67
6.14,58.38
6.17,56.88
6.2,58.06
6.24,57.96
6.27,58.07
6.3,58.44
6.34,58.54
6.37,58
6.4,58
6.44,58
6.47,58.5
6.5,58.5
6.54,59
6.57,59
6.6,59
6.64,59
6.67,58.5
6.7,59.16
6.74,58.5
6.77,59.03
6.8,58.5
6.84,59.29
6.87,59.18
6.9,59.16
6.94,59.5
6.97,59.22
7,59.09
7.04,59.64
7.07,58.5
7.1,58.53
7.14,58.95
7.17,58.5
7.2,59.15
7.24,58.07
7.27,58.9
7.3,58.6
7.34,58.44
7.37,58
7.4,58.12
7.44,52.5
7.47,-1
7.5,-1
7.54,-1
7.57,6.74
7.6,45.5
7.64,56
7.67,56
7.7,57
7.74,57
7.77,57
7.8,57.28
7.84,57.05
7.87,57.34
7.9,58.03
7.94,58.11
7.97,58.56
8,58.65
8.04,58.44
8.07,58.29
8.1,58.26
8.14,58.81
8.17,57.81
8.2,58.72
8.24,59.05
8.27,59
8.3,58.22
8.34,58.5
8.37,58.65
8.4,58.64
8.44,58.85
8.47,59.13
8.5,58.76
8.54,58.34
8.57,58.62
8.6,58.62
8.64,58.38
8.67,58.43
8.7,58.63
8.74,58.66
8.77,58.89
8.8,58.25
8.84,58.31
8.87,58.34
8.9,59.77
8.94,59.3
8.97,59.24
9,59.18
9.04,59.34
9.07,59.39
9.1,58.59
9.14,58.64
9.17,58.69
9.2,58.77
9.24,59.68
9.27,59.08
9.3,59.25
9.34,59.15
9.37,59.23
9.4,59.03
9.44,59.01
9.47,59.04
9.5,59.22
9.54,58.57
9.57,58.76
9.6,58.68
9.64,59.52
9.67,58.62
9.7,59.13
9.74,59.04
9.77,59.28
9.8,59.15
9.84,58.98
9.87,57.76
9.91,57.25
9.94,55.6
9.97,55.28
10.01,54.24
10.04,54.28
10.07,54.12
10.1,53.96
10.14,53.43
10.17,53.43
10.21,53.51
10.24,53.54
10.27,54.14
10.3,53.79
10.34,53.88
10.37,53.35
10.4,52.92
10.44,53.33
10.47,53.27
10.5,53.14
10.54,52.95
10.57,52.65
10.6,53.18
10.64,52.99
10.67,53.35
10.71,52.8
10.74,53.94
10.77,54.06
10.8,54.32
10.84,54.41
10.87,54.12
10.9,54.83
10.94,55.62
10.97,56.01
11,56.3
11.04,56.77
11.07,56.54
11.11,56.64
11.14,57.4
11.17,56.92
11.2,57.33
11.24,57.87
11.27,57.56
11.31,57.09
11.34,57.65
11.37,57.79
11.4,56.79
11.44,56.97
11.47,57.45
11.51,57.62
11.54,56.58
11.57,51
11.61,48.04
11.64,51.5
11.67,56
11.7,57.85
11.74,57
11.77,57.04
11.81,57.5
11.84,57.89
11.87,57.92
11.9,58.08
11.94,58.17
11.97,58
12,50.28
12.04,-1
12.07,-1
12.1,-1
12.14,-1
12.17,41
12.2,54
12.24,58.13
12.27,57.95
12.3,58.35
12.34,58.43
12.37,58.82
12.4,59
12.44,58.83
12.47,58
12.5,57.66
12.54,58
12.57,58.6
12.6,58.42
12.64,58.37
12.67,58.1
12.7,58
12.74,58.28
12.77,58.32
12.8,59
12.84,58.21
12.87,58.09
12.9,58.3
12.94,59.07
12.97,58.5
13,59.5
13.04,58.76
13.07,58
13.1,57.95
13.14,58.33
13.17,58.14
13.2,58.24
13.24,57.56
13.27,58.87
13.3,59.12
13.34,59
13.37,59.12
13.4,59.47
13.44,59.5
13.47,58
13.5,58.43
13.54,57.63
13.57,57
13.6,57.55
13.64,58.64
13.67,57.26
13.7,58
13.74,58.57
13.77,58.09
13.8,58.4
13.84,59.15
13.87,59.19
13.9,59.5
13.94,60.07
13.97,59.77
14,59.3
14.04,59.85
14.07,59.69
14.1,60.17
14.14,59.7
14.17,59.5
14.2,58.58
14.24,55.5
14.27,20
14.3,-1
14.34,21.5
14.37,51.5
14.4,58.5
14.44,59.8
14.47,59.38
14.5,59.58
14.54,59.67
14.57,59.22
14.6,60.42
14.63,60.39
14.67,59.97
14.7,60
14.74,60
14.77,60.77
14.8,60.08
14.84,60.35
14.87,60.47
14.9,60.13
14.94,60.58
14.97,60.19
15,60.5
15.04,60.88
15.07,59.77
15.1,60.78
15.14,60.48
15.17,60.4
15.2,59.99
15.24,57.06
15.27,-1
15.3,-1
15.34,-1
15.37,-1
15.4,-1
15.44,44.5
15.47,56
15.5,58
15.54,58.32
15.57,57.58
15.6,58.24
15.64,58.15
15.67,58.99
15.71,58.94
15.74,59.75
15.77,59.55
15.8,59.93
15.84,60.02
15.87,60.18
15.9,60.01
15.94,60.53
15.97,60.89
