"","time","pupil"
"1",0.11,NA
"2",0.14,NA
"3",0.18,NA
"4",0.22,NA
"5",0.27,62.5
"6",0.3,59.78
"7",0.34,58.5
"8",0.38,59
"9",0.41,59.5
"10",0.45,59.5
"11",0.5,60.39
"12",0.54,60.9
"13",0.57,61
"14",0.6,60.5
"15",0.64,61.56
"16",0.67,60.42
"17",0.7,61
"18",0.74,61
"19",0.77,60.5
"20",0.8,60.59
"21",0.84,60.59
"22",0.87,60.5
"23",0.9,60.33
"24",0.94,60.81
"25",0.97,60.56
"26",1,60.57
"27",1.04,60.5
"28",1.07,59.88
"29",1.1,NA
"30",1.14,NA
"31",1.17,NA
"32",1.2,NA
"33",1.24,NA
"34",1.27,NA
"35",1.3,NA
"36",1.34,NA
"37",1.37,62.04
"38",1.4,NA
"39",1.44,NA
"40",1.47,60.6
"41",1.5,60.27
"42",1.54,59.75
"43",1.57,61.12
"44",1.6,60.67
"45",1.64,60.57
"46",1.67,60.36
"47",1.7,60.35
"48",1.74,60.5
"49",1.77,60.5
"50",1.8,61
"51",1.84,60.47
"52",1.87,59.93
"53",1.91,60.23
"54",1.94,60.5
"55",1.97,59.8
"56",2,60
"57",2.04,61
"58",2.07,60
"59",2.1,60.32
"60",2.14,60.12
"61",2.17,60.6
"62",2.2,59.61
"63",2.24,59.74
"64",2.27,58.95
"65",2.3,NA
"66",2.34,NA
"67",2.37,NA
"68",2.4,NA
"69",2.44,NA
"70",2.47,60.5
"71",2.5,61.5
"72",2.54,NA
"73",2.57,58.96
"74",2.6,59.91
"75",2.64,60.67
"76",2.67,60.01
"77",2.7,60.15
"78",2.74,60.87
"79",2.77,60.5
"80",2.8,60.66
"81",2.84,60.1
"82",2.87,60.99
"83",2.91,61.25
"84",2.94,60.5
"85",2.97,60.25
"86",3,61.9
"87",3.04,61.65
"88",3.07,61.77
"89",3.1,61.71
"90",3.14,61.58
"91",3.17,61.38
"92",3.2,60.85
"93",3.24,60.94
"94",3.27,61.07
"95",3.31,62.5
"96",3.34,61.5
"97",3.37,61.73
"98",3.4,61.43
"99",3.44,61.66
"100",3.47,61.44
"101",3.51,63.72
"102",3.54,63.5
"103",3.57,60.76
"104",3.6,63.79
"105",3.64,62.36
"106",3.67,NA
"107",3.7,NA
"108",3.74,59.22
