Name,Method,Start,End,StartString,Description
Baseline,median,10,15,recording,defined from recording start
MaxConstr_Old,min,0,2,onset,defined from light onset
MaxConstr,min,0,15,onset,defined from light onset
PhasicConstSlope,linearfit,0,2.5,onset,defined from light onset
SustainedSlopeMax,linearfit_max,2.5,15,onset,defined from light onset
SlopesON_2_phasic,brokenstick_2_phasic,0,-1,onset,defined from light onset until the end
SlopesON_2_sustained,brokenstick_2_sustained,0,-1,onset,defined from light onset until the end
SlopesON_2_t,brokenstick_2_t,0,-1,onset,defined from light onset until the end
SlopesON_3_phasic,brokenstick_3_phasic,0,-1,onset,defined from light onset until the end
SlopesON_3_sustained,brokenstick_3_sustained,0,-1,onset,defined from light onset until the end
SlopesON_3_plateau,brokenstick_3_plateau,0,-1,onset,defined from light onset until the end
SlopesON_3_t_phasicEnd,brokenstick_3_t_phasicEnd,0,-1,onset,defined from light onset until the end
SlopesON_3_t_sustainedEnd,brokenstick_3_t_sustainedEnd,0,-1,onset,defined from light onset until the end
SlopesOFF_2_phasic,brokenstick_2_phasic,0,-1,offset,defined from light offset until the end
SlopesOFF_2_sustained,brokenstick_2_sustained,0,-1,offset,defined from light offset until the end
SlopesOFF_2_t,brokenstick_2_t,0,-1,offset,defined from light offset until the end
SlopesOFF_3_phasic,brokenstick_3_phasic,0,-1,offset,defined from light onset until the end
SlopesOFF_3_sustained,brokenstick_3_sustained,0,-1,offset,defined from light onset until the end
SlopesOFF_3_plateau,brokenstick_3_plateau,0,-1,offset,defined from light onset until the end
SlopesOFF_3_t_phasicEnd,brokenstick_3_t_phasicEnd,0,-1,offset,defined from light onset until the end
SlopesOFF_3_t_sustainedEnd,brokenstick_3_t_sustainedEnd,0,-1,offset,defined from light onset until the end
Latency,timing,0,6,onset,defined from light onset
PIPR5last5s,mean,4,5,offset,defined from light offset
PIPR5,mean,0,5,offset,defined from light offset
PIPR5last5s_AUC,auc,4,5,offset,defined from light offset
PIPR5_AUC,auc,0,5,offset,defined from light offset
Phasic,min,0,5,onset,defined from light onset
6SecondPIPR,mean,5,6,offset,defined from light offset (Avg Constriction during the 6th second following light offset)
QuickPhasic,max-min,0,3,onset,defined from light onset
